method,path,middlewares,handler,file,visibility
"POST","/register","","adminRegister","src\api\admin\adminAuth.routes.js","admin-internal"
"POST","/login","","adminLogin","src\api\admin\adminAuth.routes.js","admin-internal"
"GET","/overview","","overview","src\api\admin\analytics.routes.js","admin-internal"
"GET","/daily-orders","","dailyOrders","src\api\admin\analytics.routes.js","admin-internal"
"GET","/branches","","branchPerformance","src\api\admin\analytics.routes.js","admin-internal"
"GET","/drivers","","driverPerformance","src\api\admin\analytics.routes.js","admin-internal"
"GET","/","","listBranches","src\api\admin\branch.routes.js","admin-internal"
"POST","/","","createBranch","src\api\admin\branch.routes.js","admin-internal"
"PUT","/:branchId","","updateBranch","src\api\admin\branch.routes.js","admin-internal"
"DELETE","/:branchId","","deleteBranch","src\api\admin\branch.routes.js","admin-internal"
"GET","/:branchId","","getBranchHours","src\api\admin\branchHours.routes.js","admin-internal"
"PUT","/:branchId","","setBranchHours","src\api\admin\branchHours.routes.js","admin-internal"
"PUT","/:branchId/item/:itemId","","setBranchItemPrice","src\api\admin\branchPricing.routes.js","admin-internal"
"DELETE","/:branchId/item/:itemId","","clearBranchItemPrice","src\api\admin\branchPricing.routes.js","admin-internal"
"PUT","/item/:itemId","","setItemAvailability","src\api\admin\inventory.routes.js","admin-internal"
"PUT","/branch/:branchId/item/:itemId","","setBranchItemAvailability","src\api\admin\inventory.routes.js","admin-internal"
"GET","/:branchId","","getBranchLoad","src\api\admin\kitchenLoad.routes.js","admin-internal"
"POST","/:branchId/recalculate","","recalcLoad","src\api\admin\kitchenLoad.routes.js","admin-internal"
"GET","/","","fetchSettings","src\api\admin\loyaltySettings.routes.js","admin-internal"
"PUT","/","","saveSettings","src\api\admin\loyaltySettings.routes.js","admin-internal"
"POST","/category","","createCategory","src\api\admin\menu.routes.js","admin-internal"
"PUT","/category/:categoryId","","updateCategory","src\api\admin\menu.routes.js","admin-internal"
"DELETE","/category/:categoryId","","deleteCategory","src\api\admin\menu.routes.js","admin-internal"
"POST","/item","","createItem","src\api\admin\menu.routes.js","admin-internal"
"PUT","/item/:itemId","","updateItem","src\api\admin\menu.routes.js","admin-internal"
"DELETE","/item/:itemId","","deleteItem","src\api\admin\menu.routes.js","admin-internal"
"POST","/category/:categoryId/image","uploadImage.single('image')","uploadCategoryImage","src\api\admin\menu.routes.js","admin-internal"
"POST","/item/:itemId/image","uploadImage.single('image')","uploadItemImage","src\api\admin\menu.routes.js","admin-internal"
"GET","/","","adminListIssues","src\api\admin\orderIssues.routes.js","admin-internal"
