method,path,middlewares,handler,file
"POST","/register","","adminRegister","src\api\admin\adminAuth.routes.js"
"POST","/login","","adminLogin","src\api\admin\adminAuth.routes.js"
"GET","/overview","","overview","src\api\admin\analytics.routes.js"
"GET","/daily-orders","","dailyOrders","src\api\admin\analytics.routes.js"
"GET","/branches","","branchPerformance","src\api\admin\analytics.routes.js"
"GET","/drivers","","driverPerformance","src\api\admin\analytics.routes.js"
"GET","/","","listBranches","src\api\admin\branch.routes.js"
"POST","/","","createBranch","src\api\admin\branch.routes.js"
"PUT","/:branchId","","updateBranch","src\api\admin\branch.routes.js"
"DELETE","/:branchId","","deleteBranch","src\api\admin\branch.routes.js"
"GET","/:branchId","","getBranchHours","src\api\admin\branchHours.routes.js"
"PUT","/:branchId","","setBranchHours","src\api\admin\branchHours.routes.js"
"PUT","/:branchId/item/:itemId","","setBranchItemPrice","src\api\admin\branchPricing.routes.js"
"DELETE","/:branchId/item/:itemId","","clearBranchItemPrice","src\api\admin\branchPricing.routes.js"
"PUT","/item/:itemId","","setItemAvailability","src\api\admin\inventory.routes.js"
"PUT","/branch/:branchId/item/:itemId","","setBranchItemAvailability","src\api\admin\inventory.routes.js"
"GET","/:branchId","","getBranchLoad","src\api\admin\kitchenLoad.routes.js"
"POST","/:branchId/recalculate","","recalcLoad","src\api\admin\kitchenLoad.routes.js"
"GET","/","","fetchSettings","src\api\admin\loyaltySettings.routes.js"
"PUT","/","","saveSettings","src\api\admin\loyaltySettings.routes.js"
"POST","/category","","createCategory","src\api\admin\menu.routes.js"
"PUT","/category/:categoryId","","updateCategory","src\api\admin\menu.routes.js"
"DELETE","/category/:categoryId","","deleteCategory","src\api\admin\menu.routes.js"
"POST","/item","","createItem","src\api\admin\menu.routes.js"
"PUT","/item/:itemId","","updateItem","src\api\admin\menu.routes.js"
"DELETE","/item/:itemId","","deleteItem","src\api\admin\menu.routes.js"
"POST","/category/:categoryId/image","uploadImage.single('image')","uploadCategoryImage","src\api\admin\menu.routes.js"
"POST","/item/:itemId/image","uploadImage.single('image')","uploadItemImage","src\api\admin\menu.routes.js"
"GET","/","","adminListIssues","src\api\admin\orderIssues.routes.js"
"GET","/:issueId","","adminGetIssue","src\api\admin\orderIssues.routes.js"
"PUT","/:issueId","","adminResolveIssue","src\api\admin\orderIssues.routes.js"
